417,0.432,0.645
327,0.436,0.585
777,0.564,0.57
55,0.623,0.899
336,0.635,0.742
510,0.643,0.74
61,0.645,1.173
58,0.648,1.088
426,0.656,0.819
507,0.676,1.132
687,0.69,0.887
374,0.691,1.127
597,0.714,1.514
325,0.721,1.028
234,0.741,0.886
779,0.742,1.866
671,0.753,0.639
240,0.754,0.767
1,0.764,0.666
735,0.766,0.865
397,0.772,0.865
237,0.798,0.762
57,0.808,0.792
60,0.819,1.051
140,0.822,1.267
12,0.826,0.794
246,0.83,0.992
414,0.837,0.906
503,0.858,1.236
667,0.872,1.007
468,0.887,1.268
778,0.887,1.01
0,0.888,0.769
415,0.898,1.036
18,0.901,0.936
462,0.902,0.697
136,0.905,1.215
673,0.905,1.039
459,0.907,0.993
225,0.909,0.885
328,0.912,0.9
675,0.914,1.165
201,0.916,1.065
9,0.919,0.929
786,0.92,0.917
492,0.921,1.167
157,0.922,1.133
418,0.923,1.041
728,0.925,1.106
680,0.929,2.17
732,0.933,0.802
226,0.938,0.933
670,0.941,0.986
324,0.943,0.903
471,0.944,1.014
419,0.952,1.5
97,0.953,0.895
285,0.954,1.395
21,0.955,0.872
243,0.957,0.909
463,0.96,0.865
676,0.961,1.015
267,0.966,0.919
774,0.966,0.984
834,0.966,1.432
70,0.968,1.311
282,0.971,0.801
726,0.972,1.05
172,0.976,0.923
762,0.976,1.08
442,0.978,1.083
411,0.981,1.14
628,0.982,1.237
776,0.983,1.301
549,0.989,1.154
204,0.99,1.56
683,0.992,1.202
724,0.995,1.057
15,1.0,1.05
441,1.001,1.087
727,1.003,0.988
377,1.005,1.48
396,1.005,0.962
82,1.007,0.939
373,1.008,0.983
178,1.009,1.098
54,1.01,1.127
192,1.014,1.114
