1.307,0.825,0.1,0.575,0.181,0.004,0.377,0.45,0.107,1.635,1.019,0.128,0.713,0.228,0.004,0.446,0.555,0.122,1.847,1.162,0.145,0.803,0.266,0.005,0.508,0.634,0.139,4.548,2.871,0.378,1.998,0.652,0.01,1.27,1.592,0.36,4.202,2.678,0.342,1.847,0.612,0.01,1.186,1.457,0.332,
0.053,0.03,0.001,0.084,0.016,0.0,0.079,0.067,0.003,0.068,0.034,0.002,0.101,0.019,0.0,0.085,0.084,0.004,0.08,0.038,0.002,0.118,0.022,0.0,0.103,0.098,0.005,0.167,0.098,0.006,0.276,0.05,0.0,0.234,0.214,0.012,0.17,0.093,0.005,0.257,0.048,0.0,0.215,0.206,0.012,
0.079,0.365,0.077,0.085,0.168,0.009,0.155,0.707,0.201,0.091,0.452,0.098,0.103,0.198,0.011,0.17,0.869,0.247,0.103,0.519,0.121,0.116,0.241,0.012,0.196,1.018,0.299,0.243,1.19,0.274,0.271,0.528,0.026,0.47,2.312,0.642,0.222,1.13,0.265,0.256,0.521,0.026,0.439,2.236,0.626,
0.077,0.822,0.193,0.069,0.247,0.023,0.047,0.392,0.188,0.089,1.082,0.249,0.078,0.306,0.029,0.056,0.478,0.229,0.104,1.227,0.293,0.09,0.359,0.033,0.064,0.552,0.277,0.222,2.635,0.621,0.211,0.81,0.073,0.138,1.212,0.582,0.222,2.637,0.624,0.196,0.786,0.073,0.139,1.2,0.588,
0.158,0.158,0.017,0.199,0.097,0.002,0.1,0.162,0.026,0.177,0.174,0.019,0.213,0.106,0.003,0.11,0.177,0.029,0.201,0.194,0.021,0.247,0.121,0.003,0.127,0.204,0.033,0.453,0.453,0.048,0.585,0.28,0.007,0.282,0.478,0.076,0.433,0.445,0.047,0.547,0.266,0.007,0.274,0.452,0.074,
0.481,0.379,0.038,0.471,0.197,0.004,0.621,1.354,0.409,0.568,0.463,0.049,0.554,0.233,0.005,0.727,1.623,0.512,0.636,0.519,0.052,0.639,0.26,0.006,0.826,1.833,0.574,1.612,1.288,0.127,1.586,0.637,0.016,2.047,4.533,1.39,1.501,1.235,0.12,1.481,0.602,0.014,1.888,4.212,1.321,
0.058,0.117,0.018,0.053,0.074,0.002,0.062,0.141,0.04,0.061,0.127,0.021,0.058,0.081,0.002,0.062,0.158,0.047,0.069,0.141,0.024,0.067,0.094,0.003,0.073,0.18,0.052,0.172,0.345,0.052,0.153,0.22,0.006,0.17,0.44,0.118,0.159,0.327,0.051,0.151,0.212,0.006,0.155,0.418,0.121,
0.39,0.27,0.024,0.661,0.235,0.008,0.213,0.259,0.043,0.492,0.345,0.028,0.817,0.308,0.01,0.256,0.317,0.051,0.55,0.383,0.032,0.945,0.355,0.01,0.301,0.367,0.06,1.297,0.881,0.073,2.199,0.791,0.024,0.674,0.844,0.142,1.251,0.877,0.075,2.174,0.801,0.025,0.662,0.835,0.142,
0.031,0.463,0.113,0.031,0.213,0.019,0.016,0.345,0.146,0.041,0.601,0.151,0.037,0.266,0.024,0.017,0.437,0.195,0.045,0.669,0.165,0.042,0.294,0.026,0.02,0.49,0.21,0.104,1.46,0.361,0.102,0.67,0.06,0.047,1.111,0.474,0.102,1.448,0.364,0.096,0.646,0.056,0.045,1.087,0.468,
0.641,0.598,0.054,0.506,0.218,0.008,0.26,0.435,0.061,0.822,0.744,0.069,0.626,0.273,0.012,0.315,0.527,0.08,0.923,0.834,0.082,0.697,0.309,0.012,0.355,0.596,0.09,2.117,1.93,0.187,1.669,0.74,0.03,0.844,1.388,0.203,2.073,1.914,0.187,1.634,0.726,0.031,0.813,1.37,0.208,
0.124,0.149,0.006,0.083,0.05,0.002,0.056,0.091,0.019,0.147,0.181,0.009,0.096,0.063,0.002,0.063,0.113,0.023,0.164,0.209,0.01,0.112,0.075,0.002,0.07,0.131,0.027,0.401,0.495,0.021,0.274,0.171,0.005,0.184,0.301,0.068,0.374,0.485,0.022,0.26,0.166,0.005,0.171,0.3,0.067,
0.093,0.203,0.048,0.073,0.105,0.007,0.1,0.419,0.147,0.101,0.249,0.061,0.076,0.126,0.006,0.109,0.468,0.165,0.117,0.283,0.067,0.09,0.145,0.007,0.13,0.536,0.192,0.288,0.675,0.171,0.231,0.362,0.023,0.315,1.359,0.486,0.259,0.631,0.151,0.205,0.329,0.017,0.297,1.228,0.431,
0.097,0.214,0.056,0.062,0.086,0.011,0.229,0.657,0.215,0.108,0.258,0.068,0.072,0.102,0.012,0.254,0.769,0.258,0.123,0.289,0.075,0.08,0.114,0.014,0.29,0.875,0.287,0.296,0.701,0.189,0.191,0.285,0.031,0.701,2.071,0.688,0.285,0.683,0.18,0.184,0.275,0.031,0.668,2.027,0.689,
0.05,0.211,0.033,0.029,0.08,0.006,0.033,0.13,0.036,0.06,0.237,0.037,0.031,0.09,0.005,0.034,0.15,0.041,0.069,0.272,0.041,0.035,0.103,0.007,0.04,0.168,0.047,0.162,0.686,0.106,0.088,0.271,0.017,0.107,0.435,0.119,0.151,0.62,0.096,0.076,0.234,0.014,0.094,0.385,0.109,
0.039,0.413,0.052,0.021,0.176,0.006,0.032,0.303,0.054,0.048,0.538,0.07,0.027,0.216,0.007,0.034,0.384,0.069,0.053,0.592,0.073,0.029,0.242,0.007,0.04,0.423,0.073,0.122,1.299,0.159,0.067,0.564,0.018,0.086,0.97,0.17,0.118,1.287,0.167,0.066,0.537,0.017,0.079,0.947,0.169,
