1.107,0.986,0.787,1.62,1.344,1.108,0.912,0.87,0.779,
1.105,0.737,0.373,1.42,1.147,-1.0,0.786,0.95,1.381,
0.901,0.825,0.85,1.002,1.068,0.815,0.917,0.886,0.818,
0.831,0.718,0.66,1.036,1.054,0.843,0.77,0.756,0.823,
1.161,1.0,1.063,1.427,0.933,0.818,0.944,0.879,0.954,
1.028,0.938,0.983,1.393,1.161,0.66,0.891,0.873,1.04,
0.945,0.906,0.807,1.084,0.914,0.599,0.973,0.904,0.927,
0.918,0.824,0.489,1.552,1.407,0.858,0.966,0.897,0.859,
0.533,0.597,0.55,1.05,0.924,0.724,0.52,0.681,0.771,
0.912,0.812,0.766,1.523,1.245,0.745,0.859,0.872,0.754,
0.994,0.914,0.963,1.625,1.361,1.222,0.915,0.957,0.98,
0.806,0.862,0.736,1.044,1.231,1.359,1.008,0.909,0.827,
0.806,0.826,0.745,1.505,1.219,1.429,1.002,1.068,0.77,
0.813,0.776,0.615,1.278,1.102,0.669,0.904,0.84,0.778,
0.749,0.67,0.611,0.852,0.625,0.182,0.854,0.625,0.592,
0.994,0.984,1.023,1.364,1.32,1.218,1.035,0.921,0.83,
0.961,0.928,0.686,1.313,1.301,0.828,0.854,0.929,1.039,
0.942,0.86,0.801,1.538,1.275,1.339,0.922,0.908,0.827,
1.334,1.128,1.176,0.969,0.867,0.0,0.737,0.932,1.11,
1.145,0.868,0.937,1.145,1.022,0.404,1.056,0.761,0.908,
