4.546,2.923,0.762,2.808,1.292,0.192,1.582,1.679,0.745,
0.779,0.432,0.052,1.011,0.501,0.0,0.541,0.677,0.205,
0.586,1.294,0.639,0.673,0.969,0.17,0.759,2.09,0.834,
0.488,1.367,0.593,0.481,0.95,0.197,0.328,1.038,0.659,
0.814,0.729,0.204,1.026,0.565,0.073,0.499,0.652,0.261,
2.402,1.663,0.387,2.636,1.137,0.126,2.191,2.973,1.39,
0.362,0.702,0.22,0.469,0.518,0.073,0.443,0.806,0.323,
1.351,1.056,0.197,3.244,1.55,0.089,0.962,1.047,0.367,
0.222,0.911,0.45,0.34,0.901,0.196,0.17,0.887,0.619,
2.049,1.721,0.448,2.609,1.17,0.162,1.044,1.226,0.456,
0.855,0.907,0.19,1.011,0.599,0.052,0.522,0.749,0.321,
0.506,1.028,0.403,0.578,0.875,0.211,0.798,1.234,0.733,
0.529,0.868,0.426,0.746,0.698,0.26,1.059,1.777,0.807,
0.462,1.061,0.299,0.45,0.674,0.145,0.315,0.814,0.386,
0.286,1.132,0.262,0.243,0.597,0.052,0.277,0.853,0.282,
1.235,1.482,0.544,1.428,1.294,0.256,1.189,1.923,0.667,
1.103,1.318,0.389,1.557,1.7,0.211,1.055,1.796,0.738,
1.686,1.363,0.321,4.565,1.842,0.211,1.238,1.294,0.448,
0.438,0.534,0.115,0.255,0.294,0.0,0.192,0.359,0.145,
0.553,0.582,0.162,0.605,0.624,0.052,0.439,0.612,0.272,
