0.793,0.956,1.674,1.217,1.313,0.0,1.241,0.913,1.63,1.013,1.307,1.515,0.456,1.026,2.443,1.086,1.102,1.33,1.089,1.616,1.625,0.626,1.331,1.532,1.762,1.581,1.851,1.36,1.269,1.361,1.07,1.435,1.041,1.243,1.362,1.459,1.151,0.917,1.351,1.577,1.549,1.285,1.429,0.933,1.166,
2.339,1.356,0.0,1.039,2.969,-1.0,1.245,1.167,0.0,0.915,1.158,0.0,0.468,0.98,-1.0,0.83,0.597,0.0,1.57,1.555,0.0,0.546,1.771,-1.0,1.893,1.204,0.0,1.492,1.835,2.087,1.335,1.364,-1.0,1.411,1.556,1.702,1.214,1.113,1.574,1.695,1.341,-1.0,0.893,1.263,1.831,
1.103,1.142,2.116,1.352,1.226,0.0,1.143,0.782,0.889,2.545,1.614,2.159,1.642,1.583,0.0,1.804,1.454,1.329,1.378,1.141,1.969,1.29,1.235,2.338,1.789,1.669,1.826,1.503,1.551,1.816,1.716,1.592,1.654,1.43,1.568,1.627,1.202,1.124,1.163,1.09,1.164,1.568,1.062,1.037,1.084,
1.222,1.602,1.754,1.371,0.816,2.156,1.13,1.214,1.23,2.197,2.368,2.499,1.256,2.145,1.818,1.221,1.81,1.868,1.058,1.197,2.09,0.906,0.928,1.02,1.266,1.411,2.302,1.619,1.526,1.71,1.413,1.605,1.746,1.812,1.4,1.699,1.309,0.955,1.128,1.714,1.109,1.239,1.173,1.051,1.006,
3.269,2.299,1.42,2.096,2.079,0.0,1.852,2.228,4.66,1.986,2.677,0.0,1.329,1.317,0.0,1.918,1.942,4.085,1.051,2.333,2.746,1.143,1.206,0.0,1.364,2.479,2.172,1.227,1.285,2.19,1.478,1.498,2.692,1.623,1.613,1.824,1.298,1.177,0.959,1.696,1.267,0.0,1.304,1.388,1.144,
1.503,1.396,1.358,1.416,1.442,2.725,1.142,1.056,2.1,1.362,1.809,1.845,0.968,1.238,2.29,1.12,1.246,1.689,0.98,1.126,2.465,1.04,1.429,2.425,1.244,1.413,1.984,1.483,1.408,1.609,1.116,1.352,1.753,1.365,1.106,1.311,1.307,0.945,0.998,1.352,1.262,1.01,1.282,1.095,1.147,
1.515,3.103,2.868,2.421,2.787,0.0,1.679,1.954,2.479,1.206,2.524,2.115,1.221,1.317,0.0,1.679,1.171,0.993,1.096,1.653,1.757,0.487,1.733,0.0,1.523,1.63,3.42,1.651,1.695,1.912,1.179,1.515,1.451,1.796,1.435,1.579,1.362,1.29,1.59,1.535,1.705,2.554,0.955,1.182,1.241,
1.285,1.062,0.0,0.937,1.12,0.0,1.622,1.51,4.195,1.013,0.785,1.339,0.526,1.153,0.0,0.966,1.347,0.477,1.06,1.401,1.156,0.849,1.106,0.0,1.342,1.679,1.702,1.513,1.797,1.582,1.23,1.55,1.362,1.423,1.541,1.514,1.188,1.276,1.603,1.656,1.283,2.045,1.282,1.252,1.736,
2.439,1.816,2.637,1.912,1.512,0.0,1.34,1.146,1.752,0.55,0.991,1.125,1.121,1.344,0.0,0.0,0.854,0.622,1.13,2.42,3.205,1.359,2.122,2.539,1.712,1.741,2.795,1.967,1.61,2.186,1.467,1.592,1.9,1.544,1.418,1.827,0.815,1.055,1.045,1.157,1.255,1.377,1.148,1.079,1.144,
1.391,1.462,0.805,1.32,1.691,0.0,1.128,0.882,1.208,0.867,1.554,1.502,0.574,1.423,3.133,1.164,1.205,1.85,1.139,1.555,1.549,0.727,1.446,2.598,1.192,1.403,1.674,1.62,1.672,1.911,1.361,1.529,1.098,1.671,1.504,1.633,0.969,1.211,1.194,1.65,1.543,2.606,1.149,1.064,1.438,
2.023,1.302,0.0,1.583,1.857,0.0,1.102,1.213,2.291,1.313,1.437,0.0,0.744,0.893,3.259,0.98,1.594,1.395,1.085,1.686,0.0,0.618,1.301,0.0,1.326,3.461,1.745,1.747,1.648,2.225,1.24,1.783,1.177,1.58,1.519,2.239,1.279,1.251,1.293,1.69,1.365,2.19,1.091,1.094,1.062,
1.683,2.108,2.004,1.326,1.395,1.7,1.707,1.21,1.272,1.452,1.605,2.474,1.134,1.09,1.031,0.855,1.11,1.459,0.94,1.89,3.163,1.242,1.119,3.48,1.387,2.126,1.855,1.596,1.506,1.403,1.84,1.561,1.386,1.453,1.294,1.704,1.28,1.097,0.976,1.364,1.314,1.219,1.232,1.015,1.332,
1.595,1.841,2.109,1.374,1.449,0.0,1.658,1.295,1.585,0.964,1.274,0.716,1.303,1.851,0.0,1.304,1.379,1.373,1.569,2.182,2.604,0.45,1.432,0.0,1.065,1.644,1.704,1.262,1.479,1.63,0.822,1.052,0.94,1.272,1.234,1.369,1.17,1.085,1.052,2.085,1.572,2.791,1.423,1.178,1.257,
1.972,1.921,2.791,0.0,0.988,0.0,1.552,1.467,2.449,1.649,2.006,1.84,1.362,1.54,0.0,1.285,1.695,0.913,0.887,1.762,2.101,1.034,1.352,0.0,1.145,1.836,2.144,1.801,1.56,1.882,1.707,1.55,2.21,1.659,1.585,1.793,1.125,1.143,1.068,1.306,1.126,1.063,1.049,1.198,1.083,
2.993,1.862,2.33,1.166,1.556,3.007,2.05,1.9,2.057,0.66,1.335,1.763,0.554,1.22,0.0,0.481,1.083,0.646,2.987,2.1,3.192,1.259,2.601,2.209,2.528,2.53,2.63,1.385,1.313,1.541,1.721,1.616,2.098,1.654,1.278,1.837,1.08,0.791,1.468,1.723,0.914,1.406,0.915,1.054,0.987,
1.176,1.244,1.423,1.328,1.672,1.502,1.036,0.865,1.394,1.175,1.612,1.672,0.868,1.192,1.548,1.195,0.934,1.095,1.184,1.781,2.06,1.488,1.748,0.0,1.35,1.875,2.037,1.571,1.285,1.721,1.214,1.35,1.051,1.369,1.457,1.576,1.045,1.143,1.129,1.428,1.283,2.101,1.164,0.972,0.977,
1.542,1.539,1.709,1.228,1.265,1.788,1.022,0.769,1.125,1.054,1.242,1.284,0.975,1.123,0.0,1.108,1.027,1.025,1.14,1.626,1.877,0.988,1.551,1.396,1.514,1.858,2.657,1.591,1.463,1.345,1.3,1.5,1.419,1.502,1.449,1.56,1.286,1.18,1.352,1.369,1.151,1.644,1.005,1.071,1.031,
1.725,1.32,3.314,0.907,1.265,0.0,1.077,1.201,3.437,1.27,1.31,2.572,0.41,1.062,0.0,1.244,1.259,1.047,1.423,1.736,1.492,0.748,1.672,0.0,1.221,1.896,1.606,1.426,1.531,1.925,1.224,1.382,1.723,1.444,1.391,1.397,1.312,1.28,1.046,1.467,1.243,1.862,1.223,1.35,1.154,
3.153,1.961,-1.0,1.308,2.672,0.0,1.936,1.523,0.0,2.528,2.612,-1.0,3.465,2.76,0.0,2.54,2.096,0.0,1.345,1.45,-1.0,0.791,1.346,0.0,0.77,1.669,4.743,1.051,0.84,-1.0,1.19,1.182,2.809,1.718,1.647,2.597,1.535,1.594,-1.0,1.589,1.658,0.0,1.026,1.249,0.0,
3.046,2.797,5.582,1.961,1.758,0.0,1.17,1.516,4.965,1.996,2.695,4.559,2.076,2.467,0.0,1.897,2.102,1.493,1.009,2.095,1.834,0.964,1.523,0.0,1.507,1.379,1.652,1.178,1.475,1.169,1.598,1.794,3.021,1.757,1.586,2.019,1.235,1.026,1.15,1.344,1.063,0.0,1.088,1.224,1.234,
