2.159,1.809,0.304,0.774,0.195,0.006,0.64,0.953,0.197,2.411,2.006,0.332,0.868,0.217,0.005,0.71,1.049,0.216,2.819,2.379,0.395,1.022,0.258,0.007,0.837,1.237,0.257,9.043,7.963,1.362,3.235,0.841,0.021,2.684,3.954,0.834,7.155,6.153,1.022,2.566,0.655,0.017,2.138,3.13,0.656,
0.202,0.061,0.005,0.216,0.034,0.0,0.159,0.113,0.005,0.216,0.066,0.005,0.227,0.037,0.0,0.167,0.115,0.005,0.245,0.077,0.006,0.282,0.043,0.0,0.213,0.157,0.006,0.757,0.228,0.024,0.816,0.128,0.002,0.574,0.379,0.015,0.623,0.193,0.017,0.676,0.11,0.001,0.485,0.333,0.013,
0.154,0.695,0.216,0.121,0.218,0.008,0.206,1.233,0.261,0.171,0.77,0.238,0.125,0.239,0.008,0.215,1.348,0.281,0.2,0.916,0.3,0.154,0.289,0.01,0.265,1.602,0.348,0.559,2.82,0.898,0.434,0.794,0.027,0.756,4.793,0.976,0.479,2.261,0.712,0.369,0.671,0.023,0.619,3.934,0.82,
0.114,1.086,0.291,0.067,0.194,0.011,0.06,0.483,0.193,0.121,1.206,0.321,0.07,0.216,0.011,0.061,0.521,0.211,0.141,1.421,0.382,0.083,0.263,0.013,0.074,0.619,0.261,0.417,4.243,1.159,0.225,0.694,0.036,0.193,1.748,0.695,0.349,3.486,0.938,0.201,0.612,0.03,0.17,1.473,0.598,
0.268,0.262,0.019,0.255,0.094,0.002,0.149,0.215,0.023,0.277,0.283,0.02,0.261,0.099,0.001,0.151,0.222,0.025,0.33,0.326,0.023,0.313,0.12,0.002,0.179,0.261,0.029,0.939,1.039,0.071,0.878,0.331,0.004,0.496,0.768,0.091,0.772,0.819,0.059,0.742,0.281,0.003,0.422,0.634,0.074,
1.087,0.736,0.064,0.589,0.183,0.002,0.901,2.303,0.561,1.195,0.84,0.074,0.651,0.211,0.002,0.964,2.557,0.619,1.395,0.975,0.087,0.77,0.247,0.002,1.145,3.003,0.74,4.502,3.347,0.293,2.274,0.775,0.006,3.422,9.641,2.255,3.559,2.56,0.231,1.914,0.627,0.005,2.804,7.575,1.836,
0.095,0.197,0.023,0.105,0.103,0.004,0.061,0.238,0.043,0.095,0.2,0.025,0.106,0.107,0.004,0.062,0.243,0.046,0.115,0.238,0.029,0.126,0.126,0.005,0.074,0.287,0.052,0.326,0.734,0.092,0.374,0.364,0.015,0.213,0.858,0.162,0.269,0.6,0.076,0.308,0.307,0.012,0.18,0.713,0.136,
0.676,0.483,0.025,1.094,0.254,0.003,0.332,0.342,0.049,0.755,0.55,0.027,1.227,0.288,0.004,0.353,0.384,0.056,0.873,0.626,0.032,1.425,0.342,0.005,0.419,0.448,0.065,2.629,1.969,0.103,4.421,0.952,0.013,1.248,1.373,0.196,2.175,1.611,0.083,3.624,0.834,0.011,1.026,1.125,0.165,
0.115,0.649,0.173,0.024,0.21,0.013,0.023,0.528,0.167,0.129,0.725,0.191,0.028,0.24,0.016,0.025,0.586,0.182,0.147,0.821,0.22,0.031,0.275,0.017,0.029,0.671,0.205,0.488,2.421,0.66,0.092,0.754,0.05,0.08,2.006,0.591,0.377,2.026,0.543,0.078,0.664,0.043,0.069,1.665,0.504,
1.1,0.903,0.092,0.78,0.202,0.005,0.413,0.621,0.09,1.208,0.996,0.104,0.849,0.227,0.005,0.448,0.679,0.101,1.405,1.15,0.118,0.997,0.266,0.007,0.53,0.79,0.121,4.375,3.697,0.393,3.037,0.775,0.018,1.601,2.406,0.382,3.555,2.991,0.321,2.509,0.66,0.016,1.317,2.003,0.306,
0.289,0.247,0.017,0.132,0.045,0.001,0.09,0.193,0.032,0.307,0.274,0.019,0.147,0.05,0.001,0.098,0.215,0.036,0.36,0.317,0.023,0.172,0.06,0.001,0.117,0.248,0.044,1.123,1.02,0.074,0.506,0.164,0.003,0.343,0.807,0.14,0.916,0.826,0.061,0.439,0.144,0.002,0.289,0.648,0.111,
0.217,0.383,0.078,0.236,0.129,0.005,0.138,0.687,0.181,0.237,0.406,0.085,0.267,0.142,0.006,0.141,0.757,0.196,0.275,0.479,0.1,0.306,0.161,0.007,0.168,0.866,0.227,0.876,1.413,0.29,1.073,0.495,0.019,0.484,2.747,0.667,0.69,1.168,0.242,0.802,0.412,0.018,0.407,2.214,0.567,
