1.308,0.672,0.102,0.593,0.177,0.003,0.406,0.581,0.101,1.597,1.282,0.266,0.244,0.077,0.0,0.572,0.582,0.115,2.019,2.712,0.632,0.423,0.162,0.004,0.708,1.302,0.25,10.308,9.934,1.642,2.644,0.86,0.015,3.772,5.32,1.101,8.228,5.68,0.794,4.448,0.836,0.031,1.533,2.521,0.606,
0.182,0.048,0.003,0.177,0.019,0.0,0.061,0.051,0.001,0.089,0.028,0.001,0.066,0.028,0.0,0.123,0.036,0.001,0.188,0.055,0.013,0.126,0.034,0.0,0.241,0.137,0.001,0.923,0.311,0.034,0.873,0.139,0.0,0.704,0.547,0.026,0.657,0.184,0.007,0.937,0.13,0.004,0.419,0.264,0.013,
0.067,0.293,0.098,0.072,0.098,0.001,0.146,0.458,0.096,0.158,0.987,0.191,0.098,0.261,0.004,0.203,1.328,0.215,0.114,0.765,0.282,0.045,0.121,0.001,0.112,1.2,0.288,0.81,3.575,1.213,0.485,0.92,0.044,0.928,6.026,1.407,0.407,1.855,0.593,0.48,0.79,0.026,0.672,3.828,0.682,
0.072,0.622,0.147,0.054,0.111,0.006,0.077,0.369,0.08,0.168,1.95,0.352,0.088,0.343,0.012,0.057,0.566,0.152,0.082,1.058,0.358,0.038,0.112,0.003,0.045,0.491,0.26,0.509,5.22,1.599,0.255,0.752,0.058,0.276,2.302,1.031,0.309,2.588,0.651,0.184,0.639,0.023,0.102,1.117,0.441,
0.374,0.337,0.013,0.184,0.079,0.003,0.112,0.158,0.009,0.149,0.263,0.006,0.076,0.051,0.0,0.105,0.2,0.012,0.212,0.245,0.019,0.102,0.082,0.0,0.112,0.225,0.015,0.999,1.015,0.099,0.966,0.41,0.004,0.672,0.996,0.136,0.845,0.876,0.057,1.077,0.276,0.003,0.382,0.533,0.072,
0.759,0.312,0.041,0.693,0.194,0.0,0.673,1.438,0.35,0.571,0.693,0.053,0.318,0.181,0.0,0.54,1.688,0.705,0.721,0.832,0.076,0.369,0.19,0.007,0.978,2.962,0.615,5.759,4.118,0.377,1.969,0.842,0.009,4.568,12.101,2.416,3.905,2.517,0.206,2.815,0.642,0.001,2.441,6.734,1.94,
0.093,0.234,0.015,0.063,0.067,0.003,0.029,0.178,0.051,0.089,0.228,0.019,0.042,0.061,0.0,0.05,0.19,0.026,0.072,0.244,0.036,0.057,0.077,0.001,0.072,0.245,0.054,0.477,0.784,0.105,0.527,0.463,0.025,0.285,1.096,0.174,0.172,0.474,0.072,0.315,0.333,0.012,0.158,0.622,0.136,
0.415,0.27,0.012,0.492,0.184,0.006,0.153,0.169,0.015,0.238,0.223,0.006,0.222,0.093,0.0,0.134,0.126,0.013,0.655,0.46,0.047,0.543,0.178,0.001,0.355,0.396,0.121,4.026,3.101,0.136,4.397,1.016,0.015,1.806,2.053,0.248,1.709,1.185,0.073,6.015,1.181,0.015,0.927,0.921,0.134,
0.079,0.655,0.156,0.013,0.174,0.007,0.012,0.339,0.095,0.025,0.358,0.057,0.007,0.086,0.004,0.018,0.206,0.047,0.077,1.4,0.425,0.025,0.412,0.019,0.028,1.137,0.279,0.93,3.099,0.895,0.139,0.866,0.082,0.111,2.474,0.853,0.143,1.161,0.264,0.066,0.597,0.025,0.057,1.295,0.384,
1.174,0.613,0.053,0.412,0.117,0.0,0.223,0.277,0.029,0.55,0.531,0.041,0.142,0.082,0.001,0.308,0.403,0.067,0.869,0.904,0.114,0.342,0.165,0.001,0.61,0.75,0.104,6.072,5.441,0.599,2.947,0.845,0.026,2.181,3.346,0.515,2.902,2.226,0.229,4.248,0.907,0.022,0.978,1.727,0.283,
0.235,0.185,0.012,0.089,0.029,0.0,0.066,0.117,0.032,0.128,0.168,0.009,0.034,0.012,0.0,0.058,0.146,0.015,0.146,0.193,0.016,0.038,0.02,0.0,0.112,0.19,0.034,1.607,1.445,0.101,0.546,0.216,0.003,0.474,1.064,0.201,0.866,0.685,0.055,0.676,0.19,0.003,0.226,0.61,0.083,
0.159,0.305,0.051,0.105,0.099,0.003,0.104,0.35,0.072,0.153,0.334,0.063,0.067,0.074,0.001,0.085,0.477,0.112,0.131,0.463,0.15,0.08,0.117,0.004,0.13,0.947,0.219,1.096,1.768,0.365,1.353,0.587,0.02,0.626,3.638,0.915,0.758,0.971,0.168,1.022,0.455,0.026,0.375,1.869,0.527,
