0,0.893,1,0.648,0.781,0,0.546
1,0.749,0,0.484,0.72,0,0.411
2,1.46,0,0.642,0.935,0,0.348
3,1.354,0,0.783,1.219,0,0.765
4,1.216,0,0.651,1.572,0,0.814
5,2.69,0,1.503,2.38,0,1.178
6,1.368,0,0.768,1.045,0,0.562
7,1.106,0,0.596,0.924,0,0.475
8,1.381,0,0.551,1.186,0,0.406
9,0.934,1,0.651,0.954,1,0.658
10,1.164,1,0.731,1.194,1,0.711
11,1.479,0,0.882,1.488,0,0.645
12,0.829,0,0.38,0.782,0,0.324
13,1.02,0,0.471,1.447,0,0.671
14,1.823,0,0.698,1.16,0,0.521
15,1.008,0,0.679,1.046,0,0.673
16,1.257,0,0.672,1.28,0,0.634
17,1.559,0,0.613,1.57,0,0.682
18,0.915,1,0.651,0.958,1,0.658
19,1.463,1,0.731,1.521,1,0.711
20,1.887,0,0.882,1.949,0,0.645
21,0.94,0,0.38,0.9,0,0.324
22,1.213,0,0.471,1.349,0,0.671
23,0.0,0,0.698,1.104,0,0.521
24,1.305,0,0.679,1.327,0,0.673
25,1.56,0,0.672,1.636,1,0.634
26,2.085,0,0.613,2.501,0,0.682
27,1.258,1,0.775,1.234,1,0.789
28,1.342,1,1.062,1.311,1,1.102
29,1.371,0,1.22,1.536,1,1.341
30,1.212,1,0.548,1.165,1,0.508
31,1.278,0,0.766,1.142,1,0.614
32,1.197,0,0.0,1.708,0,0.493
33,1.39,1,0.95,1.356,1,1.019
34,1.375,1,1.006,1.383,1,1.097
35,1.597,0,1.196,1.449,1,1.383
36,1.236,1,0.775,1.166,1,0.789
37,1.059,1,1.062,1.004,1,1.102
38,1.126,0,1.22,0.989,0,1.341
39,1.599,1,0.548,1.637,1,0.508
40,1.537,0,0.766,1.637,1,0.614
41,1.894,0,0.0,1.325,0,0.493
42,1.046,1,0.95,1.107,1,1.019
43,1.151,1,1.006,1.043,1,1.097
44,1.232,0,1.196,1.207,0,1.383
45,1.769,0,0.764,1.523,0,0.875
46,1.897,0,0.81,2.073,0,0.939
47,0.0,0,0.0,2.934,0,1.935
48,1.373,0,0.795,1.485,0,0.903
