1.234,1.07,0.193,0.532,0.194,0.007,0.358,0.547,0.172,1.34,1.146,0.199,0.563,0.216,0.01,0.367,0.596,0.185,1.34,1.146,0.199,0.563,0.216,0.01,0.367,0.596,0.185,1.59,1.37,0.242,0.68,0.258,0.011,0.445,0.714,0.217,1.59,1.37,0.242,0.68,0.258,0.011,0.445,0.714,0.217,5.068,4.287,0.777,2.123,0.799,0.034,1.401,2.235,0.698,5.068,4.287,0.777,2.123,0.799,0.034,1.401,2.235,0.698,3.923,3.359,0.596,1.66,0.632,0.026,1.099,1.735,0.539,3.923,3.359,0.596,1.66,0.632,0.026,1.099,1.735,0.539,
0.11,0.054,0.003,0.122,0.041,0.0,0.095,0.095,0.007,0.114,0.057,0.003,0.13,0.044,0.0,0.097,0.096,0.008,0.114,0.057,0.003,0.13,0.044,0.0,0.097,0.096,0.008,0.137,0.067,0.004,0.153,0.052,0.0,0.126,0.127,0.008,0.137,0.067,0.004,0.153,0.052,0.0,0.126,0.127,0.008,0.407,0.21,0.011,0.454,0.155,0.0,0.345,0.341,0.026,0.407,0.21,0.011,0.454,0.155,0.0,0.345,0.341,0.026,0.336,0.173,0.01,0.366,0.131,0.0,0.282,0.279,0.021,0.336,0.173,0.01,0.366,0.131,0.0,0.282,0.279,0.021,
0.075,0.429,0.133,0.092,0.184,0.011,0.13,0.777,0.222,0.073,0.469,0.147,0.095,0.195,0.01,0.126,0.825,0.236,0.073,0.469,0.147,0.095,0.195,0.01,0.126,0.825,0.236,0.091,0.577,0.184,0.115,0.242,0.014,0.152,1.004,0.299,0.091,0.577,0.184,0.115,0.242,0.014,0.152,1.004,0.299,0.278,1.665,0.503,0.358,0.693,0.04,0.476,2.97,0.838,0.278,1.665,0.503,0.358,0.693,0.04,0.476,2.97,0.838,0.215,1.347,0.416,0.271,0.562,0.031,0.368,2.379,0.678,0.215,1.347,0.416,0.271,0.562,0.031,0.368,2.379,0.678,
0.071,0.606,0.155,0.058,0.182,0.014,0.04,0.325,0.148,0.071,0.655,0.165,0.057,0.205,0.015,0.044,0.354,0.16,0.071,0.655,0.165,0.057,0.205,0.015,0.044,0.354,0.16,0.088,0.796,0.211,0.069,0.252,0.021,0.051,0.426,0.201,0.088,0.796,0.211,0.069,0.252,0.021,0.051,0.426,0.201,0.254,2.268,0.563,0.223,0.686,0.053,0.157,1.186,0.54,0.254,2.268,0.563,0.223,0.686,0.053,0.157,1.186,0.54,0.204,1.855,0.466,0.167,0.575,0.045,0.126,0.986,0.457,0.204,1.855,0.466,0.167,0.575,0.045,0.126,0.986,0.457,
0.141,0.144,0.014,0.17,0.094,0.002,0.092,0.142,0.027,0.137,0.139,0.014,0.165,0.094,0.002,0.086,0.143,0.027,0.137,0.139,0.014,0.165,0.094,0.002,0.086,0.143,0.027,0.167,0.162,0.017,0.202,0.112,0.002,0.104,0.169,0.031,0.167,0.162,0.017,0.202,0.112,0.002,0.104,0.169,0.031,0.483,0.482,0.049,0.614,0.334,0.008,0.31,0.508,0.093,0.483,0.482,0.049,0.614,0.334,0.008,0.31,0.508,0.093,0.385,0.389,0.039,0.476,0.265,0.007,0.246,0.406,0.076,0.385,0.389,0.039,0.476,0.265,0.007,0.246,0.406,0.076,
0.501,0.415,0.043,0.467,0.193,0.005,0.611,1.339,0.437,0.521,0.431,0.048,0.484,0.207,0.006,0.619,1.434,0.47,0.521,0.431,0.048,0.484,0.207,0.006,0.619,1.434,0.47,0.623,0.519,0.059,0.584,0.248,0.007,0.744,1.682,0.553,0.623,0.519,0.059,0.584,0.248,0.007,0.744,1.682,0.553,1.963,1.602,0.181,1.824,0.781,0.022,2.357,5.298,1.714,1.963,1.602,0.181,1.824,0.781,0.022,2.357,5.298,1.714,1.574,1.276,0.141,1.418,0.598,0.018,1.819,4.166,1.341,1.574,1.276,0.141,1.418,0.598,0.018,1.819,4.166,1.341,
0.048,0.14,0.023,0.054,0.082,0.003,0.059,0.179,0.045,0.042,0.132,0.022,0.051,0.079,0.003,0.052,0.178,0.045,0.042,0.132,0.022,0.051,0.079,0.003,0.052,0.178,0.045,0.051,0.162,0.027,0.061,0.099,0.004,0.063,0.218,0.05,0.051,0.162,0.027,0.061,0.099,0.004,0.063,0.218,0.05,0.159,0.48,0.08,0.181,0.285,0.01,0.187,0.649,0.145,0.159,0.48,0.08,0.181,0.285,0.01,0.187,0.649,0.145,0.12,0.398,0.065,0.147,0.238,0.009,0.149,0.519,0.12,0.12,0.398,0.065,0.147,0.238,0.009,0.149,0.519,0.12,
0.396,0.297,0.026,0.597,0.236,0.004,0.199,0.252,0.041,0.426,0.314,0.024,0.648,0.263,0.004,0.212,0.268,0.042,0.426,0.314,0.024,0.648,0.263,0.004,0.212,0.268,0.042,0.504,0.371,0.027,0.775,0.313,0.005,0.256,0.317,0.049,0.504,0.371,0.027,0.775,0.313,0.005,0.256,0.317,0.049,1.485,1.113,0.092,2.323,0.902,0.013,0.77,0.952,0.148,1.485,1.113,0.092,2.323,0.902,0.013,0.77,0.952,0.148,1.224,0.917,0.072,1.911,0.749,0.011,0.627,0.776,0.125,1.224,0.917,0.072,1.911,0.749,0.011,0.627,0.776,0.125,
0.026,0.324,0.116,0.026,0.196,0.02,0.019,0.283,0.151,0.028,0.363,0.137,0.028,0.212,0.022,0.016,0.31,0.174,0.028,0.363,0.137,0.028,0.212,0.022,0.016,0.31,0.174,0.032,0.423,0.154,0.033,0.245,0.025,0.02,0.358,0.19,0.032,0.423,0.154,0.033,0.245,0.025,0.02,0.358,0.19,0.099,1.236,0.451,0.104,0.729,0.071,0.064,1.021,0.563,0.099,1.236,0.451,0.104,0.729,0.071,0.064,1.021,0.563,0.082,1.011,0.366,0.082,0.576,0.057,0.048,0.829,0.45,0.082,1.011,0.366,0.082,0.576,0.057,0.048,0.829,0.45,
0.629,0.53,0.06,0.483,0.2,0.011,0.259,0.391,0.075,0.683,0.573,0.064,0.515,0.218,0.01,0.268,0.428,0.08,0.683,0.573,0.064,0.515,0.218,0.01,0.268,0.428,0.08,0.813,0.689,0.077,0.622,0.264,0.013,0.32,0.512,0.094,0.813,0.689,0.077,0.622,0.264,0.013,0.32,0.512,0.094,2.457,2.053,0.23,1.875,0.767,0.037,0.971,1.513,0.26,2.457,2.053,0.23,1.875,0.767,0.037,0.971,1.513,0.26,2.002,1.695,0.19,1.53,0.64,0.03,0.776,1.235,0.223,2.002,1.695,0.19,1.53,0.64,0.03,0.776,1.235,0.223,
