4.343,4.249,0.866,1.783,0.794,0.04,0.485,0.944,0.367,
0.424,0.241,0.013,0.408,0.161,0.0,0.142,0.174,0.021,
0.316,2.241,0.871,0.343,0.78,0.072,0.174,1.249,0.485,
0.367,4.056,1.378,0.252,1.164,0.145,0.091,0.718,0.539,
1.102,1.115,0.15,1.054,0.654,0.024,0.282,0.485,0.099,
1.3,1.287,0.201,1.311,0.673,0.024,0.761,2.434,1.129,
0.265,0.96,0.22,0.223,0.456,0.029,0.118,0.442,0.134,
2.182,1.611,0.158,2.611,1.193,0.021,0.499,0.724,0.134,
0.158,2.601,1.311,0.118,1.209,0.166,0.032,0.764,0.689,
3.946,3.257,0.391,2.257,1.078,0.054,0.579,1.075,0.223,
0.903,0.941,0.121,0.523,0.3,0.008,0.182,0.319,0.118,
0.359,1.421,0.418,0.298,0.488,0.043,0.145,0.882,0.456,
0.332,0.987,0.338,0.239,0.381,0.07,0.466,1.298,0.45,
0.413,2.359,0.48,0.18,0.625,0.075,0.059,0.509,0.241,
0.257,3.166,0.555,0.134,1.142,0.075,0.059,0.834,0.327,
0.93,1.767,0.437,0.713,0.92,0.051,0.306,1.373,0.308,
0.997,1.681,0.335,0.909,1.314,0.08,0.322,1.212,0.413,
2.308,1.756,0.201,3.493,1.705,0.046,0.609,0.81,0.174,
0.225,0.458,0.051,0.145,0.217,0.008,0.029,0.107,0.029,
0.579,1.193,0.137,0.566,0.786,0.021,0.139,0.472,0.083,
