7.775,6.172,0.946,3.694,1.174,0.054,0.759,1.233,0.383,
0.63,0.338,0.019,0.764,0.228,0.0,0.204,0.236,0.016,
0.424,2.26,0.708,0.437,0.995,0.056,0.241,1.643,0.375,
0.332,2.914,0.694,0.255,0.997,0.091,0.113,0.705,0.298,
0.769,0.635,0.078,1.038,0.496,0.013,0.244,0.327,0.056,
3.252,2.316,0.257,2.925,1.075,0.024,1.504,3.458,1.091,
0.206,0.646,0.118,0.257,0.399,0.019,0.126,0.434,0.07,
2.472,1.727,0.118,4.314,1.512,0.027,0.654,0.804,0.115,
0.134,1.579,0.622,0.129,1.027,0.113,0.054,0.63,0.386,
4.035,3.239,0.343,3.367,1.244,0.051,0.74,1.158,0.18,
1.056,0.973,0.086,0.751,0.37,0.008,0.233,0.367,0.088,
0.507,1.517,0.327,0.434,0.646,0.04,0.239,0.989,0.346,
0.373,0.89,0.295,0.359,0.48,0.072,0.568,1.544,0.397,
0.397,1.761,0.279,0.193,0.627,0.07,0.07,0.445,0.121,
0.198,1.595,0.147,0.107,0.641,0.021,0.072,0.539,0.097,
1.509,2.126,0.413,1.338,1.351,0.064,0.507,1.853,0.314,
1.413,2.0,0.303,1.649,1.989,0.105,0.442,1.55,0.41,
2.85,1.965,0.193,6.383,2.351,0.062,0.807,0.928,0.15,
0.137,0.273,0.016,0.099,0.15,0.0,0.027,0.064,0.011,
0.402,0.611,0.046,0.491,0.534,0.011,0.118,0.351,0.038,
