6.581,5.617,0.959,2.764,1.043,0.043,0.729,1.208,0.326,
0.542,0.286,0.013,0.596,0.208,0.0,0.209,0.21,0.015,
0.382,2.194,0.699,0.454,0.948,0.051,0.225,1.535,0.332,
0.327,2.994,0.734,0.265,0.941,0.07,0.1,0.647,0.26,
0.64,0.643,0.062,0.766,0.445,0.011,0.213,0.299,0.039,
2.676,2.129,0.233,2.378,1.0,0.029,1.377,3.303,1.03,
0.198,0.648,0.107,0.234,0.375,0.015,0.119,0.394,0.063,
1.976,1.489,0.128,3.122,1.215,0.016,0.546,0.724,0.107,
0.13,1.632,0.601,0.121,0.974,0.093,0.042,0.6,0.312,
3.274,2.74,0.314,2.478,1.023,0.05,0.625,1.053,0.163,
0.803,0.795,0.066,0.55,0.272,0.004,0.2,0.313,0.077,
0.421,1.355,0.308,0.379,0.57,0.038,0.207,0.959,0.293,
0.375,1.047,0.349,0.31,0.433,0.06,0.55,1.387,0.369,
0.359,1.705,0.244,0.167,0.527,0.054,0.06,0.412,0.101,
0.198,1.787,0.177,0.103,0.728,0.025,0.059,0.547,0.097,
1.273,1.995,0.43,1.119,1.174,0.054,0.434,1.842,0.256,
1.128,1.816,0.335,1.301,1.664,0.074,0.453,1.501,0.32,
2.429,1.777,0.179,4.767,2.011,0.044,0.751,0.875,0.143,
0.125,0.262,0.019,0.088,0.145,0.001,0.022,0.065,0.01,
0.331,0.608,0.05,0.386,0.475,0.011,0.101,0.322,0.04,
