1,0.719,0.956,0.371,0.574
397,0.811,1.055,0.573,0.579
336,0.816,0.849,0.381,0.367
786,0.823,0.748,0.402,0.465
667,0.943,0.791,0.685,0.613
414,0.964,0.867,0.456,0.511
30,0.972,1.07,0.817,0.992
38,0.974,1.351,0.777,0.832
172,0.998,0.955,0.743,0.689
442,1.002,1.211,0.744,0.872
43,1.005,0.933,0.805,0.907
37,1.007,0.917,0.923,0.893
795,1.013,1.224,0.91,1.066
10,1.016,1.307,0.639,0.77
267,1.019,1.282,0.87,0.989
42,1.023,1.429,0.717,0.996
127,1.035,1.124,0.821,0.905
673,1.039,1.054,0.733,0.607
178,1.04,1.051,0.758,0.733
18,1.047,1.089,0.716,0.855
441,1.048,0.969,0.816,0.909
718,1.05,0.972,0.86,0.843
717,1.085,1.164,0.92,0.869
9,1.088,1.013,0.663,0.626
136,1.088,1.602,0.573,0.698
622,1.089,1.143,0.791,0.807
757,1.092,1.18,0.859,0.917
403,1.097,1.079,0.778,0.815
423,1.098,1.139,0.618,0.794
532,1.102,1.097,0.831,0.797
255,1.107,1.116,0.866,0.968
268,1.107,1.095,0.889,0.981
133,1.11,1.037,0.973,0.852
352,1.113,1.276,0.736,0.939
807,1.121,1.223,0.78,1.068
345,1.122,1.23,0.995,1.065
0,1.131,0.793,0.606,0.464
802,1.131,1.28,0.833,0.875
538,1.141,1.015,0.844,0.956
232,1.147,1.056,0.624,0.666
262,1.15,0.945,0.983,0.843
712,1.15,1.143,0.969,0.966
711,1.155,1.045,0.992,0.923
801,1.16,1.312,0.894,1.024
762,1.163,1.005,0.977,0.892
763,1.173,1.071,0.931,0.845
173,1.174,1.128,0.694,0.61
313,1.178,1.182,0.873,0.935
36,1.181,1.151,1.15,1.081
447,1.185,1.149,0.742,0.813
351,1.187,1.188,0.786,1.088
435,1.2,1.361,0.971,1.052
357,1.203,1.282,0.903,1.051
358,1.21,1.252,0.819,0.825
261,1.212,1.307,1.097,1.107
582,1.212,1.423,0.98,1.039
448,1.22,1.064,0.862,0.945
249,1.225,1.244,0.854,0.967
751,1.227,1.5,1.012,1.398
333,1.229,1.06,0.751,0.612
628,1.231,1.198,0.863,0.845
691,1.236,0.934,0.594,0.601
241,1.242,1.246,0.66,0.877
574,1.242,1.234,1.104,1.064
808,1.244,1.35,0.818,0.96
577,1.25,1.085,0.861,0.924
573,1.268,1.272,1.19,1.188
796,1.283,1.382,1.014,1.186
28,1.284,1.269,1.248,1.187
346,1.288,1.55,1.067,1.19
27,1.289,1.36,1.14,1.212
583,1.29,1.178,1.048,1.162
75,1.291,1.335,1.07,1.181
134,1.293,1.084,0.831,0.897
883,1.3,1.475,1.078,1.048
208,1.304,1.285,0.976,1.083
256,1.306,1.352,1.087,1.078
166,1.307,1.605,1.083,1.321
584,1.307,1.257,0.947,0.883
253,1.312,1.408,1.23,1.239
259,1.318,1.106,1.255,1.061
756,1.327,1.286,1.01,0.974
