1.229,0.767,0.096,0.541,0.168,0.003,0.356,0.428,0.1,1.541,0.958,0.122,0.673,0.212,0.003,0.422,0.527,0.116,1.742,1.081,0.14,0.758,0.248,0.004,0.483,0.603,0.131,4.26,2.683,0.361,1.873,0.606,0.008,1.192,1.511,0.334,3.963,2.508,0.329,1.739,0.568,0.008,1.122,1.39,0.311,
0.048,0.03,0.001,0.081,0.015,0.0,0.078,0.066,0.003,0.064,0.034,0.002,0.097,0.018,0.0,0.083,0.083,0.004,0.075,0.038,0.002,0.112,0.021,0.0,0.101,0.097,0.005,0.156,0.098,0.006,0.266,0.046,0.0,0.23,0.211,0.012,0.16,0.093,0.005,0.246,0.043,0.0,0.211,0.202,0.011,
0.075,0.347,0.074,0.081,0.158,0.008,0.145,0.666,0.186,0.086,0.427,0.096,0.099,0.185,0.008,0.157,0.812,0.227,0.097,0.489,0.118,0.111,0.227,0.009,0.182,0.959,0.276,0.231,1.126,0.267,0.257,0.496,0.021,0.433,2.18,0.592,0.21,1.067,0.26,0.244,0.489,0.02,0.408,2.103,0.577,
0.074,0.767,0.183,0.064,0.24,0.022,0.046,0.365,0.18,0.086,1.009,0.236,0.071,0.297,0.028,0.054,0.446,0.22,0.102,1.147,0.278,0.082,0.349,0.032,0.061,0.516,0.268,0.216,2.456,0.591,0.196,0.781,0.07,0.133,1.126,0.56,0.215,2.466,0.595,0.179,0.761,0.069,0.133,1.117,0.567,
0.15,0.148,0.016,0.188,0.094,0.002,0.093,0.154,0.024,0.165,0.161,0.018,0.2,0.102,0.003,0.101,0.167,0.027,0.188,0.18,0.02,0.234,0.118,0.003,0.117,0.193,0.031,0.425,0.426,0.045,0.555,0.27,0.006,0.262,0.442,0.07,0.404,0.417,0.045,0.516,0.257,0.006,0.254,0.424,0.068,
0.457,0.358,0.036,0.44,0.184,0.004,0.573,1.279,0.386,0.539,0.437,0.047,0.518,0.219,0.005,0.677,1.535,0.488,0.601,0.49,0.05,0.602,0.243,0.006,0.771,1.737,0.543,1.514,1.223,0.121,1.489,0.594,0.016,1.88,4.275,1.316,1.42,1.177,0.116,1.386,0.562,0.014,1.751,3.985,1.253,
0.055,0.111,0.018,0.051,0.071,0.002,0.061,0.129,0.038,0.058,0.121,0.021,0.055,0.078,0.002,0.06,0.144,0.044,0.067,0.134,0.022,0.064,0.091,0.003,0.071,0.164,0.048,0.16,0.33,0.05,0.147,0.214,0.006,0.164,0.403,0.11,0.15,0.313,0.049,0.144,0.205,0.006,0.151,0.383,0.114,
0.371,0.253,0.021,0.616,0.226,0.008,0.197,0.249,0.041,0.467,0.324,0.025,0.759,0.294,0.01,0.236,0.303,0.048,0.523,0.359,0.029,0.879,0.341,0.01,0.28,0.349,0.056,1.229,0.826,0.067,2.052,0.759,0.024,0.624,0.808,0.135,1.192,0.829,0.068,2.027,0.769,0.025,0.616,0.798,0.134,
0.027,0.437,0.108,0.029,0.2,0.017,0.016,0.323,0.138,0.037,0.568,0.144,0.036,0.249,0.022,0.016,0.409,0.184,0.04,0.632,0.156,0.04,0.275,0.023,0.019,0.459,0.198,0.095,1.378,0.343,0.097,0.626,0.054,0.044,1.032,0.45,0.092,1.368,0.346,0.091,0.602,0.051,0.043,1.021,0.444,
0.6,0.568,0.049,0.475,0.21,0.008,0.247,0.41,0.057,0.764,0.707,0.065,0.588,0.263,0.011,0.3,0.501,0.076,0.857,0.791,0.075,0.656,0.298,0.012,0.338,0.564,0.084,1.977,1.836,0.175,1.571,0.71,0.028,0.798,1.305,0.193,1.94,1.827,0.174,1.536,0.697,0.029,0.773,1.295,0.196,
0.116,0.143,0.005,0.079,0.048,0.001,0.053,0.084,0.019,0.136,0.175,0.007,0.091,0.06,0.002,0.06,0.104,0.023,0.153,0.202,0.008,0.105,0.071,0.002,0.066,0.122,0.027,0.372,0.48,0.019,0.253,0.163,0.005,0.169,0.281,0.068,0.348,0.471,0.019,0.246,0.159,0.004,0.158,0.279,0.067,
0.089,0.191,0.044,0.068,0.101,0.007,0.091,0.387,0.143,0.095,0.232,0.057,0.071,0.12,0.006,0.098,0.43,0.16,0.11,0.264,0.061,0.085,0.14,0.007,0.118,0.493,0.187,0.276,0.629,0.159,0.215,0.35,0.023,0.287,1.239,0.467,0.247,0.591,0.142,0.192,0.317,0.017,0.272,1.126,0.417,
0.092,0.204,0.052,0.058,0.082,0.01,0.218,0.618,0.199,0.102,0.246,0.064,0.067,0.097,0.012,0.241,0.72,0.238,0.117,0.276,0.07,0.075,0.108,0.013,0.275,0.822,0.266,0.279,0.671,0.177,0.178,0.273,0.029,0.662,1.953,0.641,0.271,0.654,0.169,0.173,0.263,0.029,0.633,1.91,0.637,
