667,0.886,1.02,0.623,0.671
18,0.915,0.958,0.775,0.789
9,0.934,0.954,0.651,0.658
172,0.969,0.977,0.759,0.713
786,0.97,0.934,0.578,0.533
267,0.982,0.918,0.913,0.883
442,0.992,1.096,0.819,0.813
441,0.995,1.087,0.89,0.909
178,1.011,0.984,0.717,0.734
352,1.028,1.004,0.905,0.813
42,1.046,1.107,0.868,0.924
802,1.051,1.054,0.929,0.86
37,1.059,1.004,0.962,0.983
268,1.071,1.014,0.883,0.869
538,1.073,1.019,0.993,0.904
718,1.078,1.063,0.933,0.917
262,1.079,1.086,0.931,0.922
351,1.093,1.072,0.891,0.905
261,1.097,1.109,1.043,1.027
448,1.101,1.247,0.871,0.892
801,1.108,1.069,0.958,0.947
763,1.11,1.095,0.898,0.913
768,1.121,1.074,0.676,0.671
807,1.122,1.183,0.875,0.926
232,1.135,1.117,0.725,0.725
795,1.147,1.057,1.056,0.975
43,1.151,1.043,0.918,0.864
757,1.153,1.176,0.946,0.951
10,1.164,1.194,0.731,0.711
255,1.195,1.115,0.997,0.935
133,1.199,1.109,0.948,0.894
241,1.209,1.333,0.811,0.791
30,1.212,1.165,0.959,0.909
568,1.223,1.336,1.086,1.095
751,1.225,1.148,1.098,1.033
574,1.231,1.296,1.043,1.07
808,1.235,1.152,0.942,0.914
36,1.236,1.166,1.164,1.108
345,1.241,1.221,1.113,1.079
27,1.258,1.234,1.161,1.171
435,1.268,1.171,1.124,1.075
127,1.271,1.1,0.93,0.838
712,1.284,1.231,1.046,0.989
269,1.303,1.346,1.008,1.042
250,1.316,1.455,0.97,1.053
750,1.326,1.222,1.131,1.137
28,1.342,1.311,1.247,1.204
583,1.343,1.242,1.114,1.078
613,1.357,1.468,1.4,1.325
115,1.373,1.538,0.782,0.809
34,1.375,1.383,1.285,1.286
346,1.376,1.305,1.149,1.026
754,1.387,1.384,1.25,1.236
33,1.39,1.356,1.319,1.253
163,1.396,1.448,1.263,1.312
658,1.398,1.356,1.168,1.108
259,1.402,1.32,1.258,1.207
260,1.404,1.338,1.099,1.087
759,1.416,1.459,1.288,1.297
445,1.422,1.53,1.192,1.239
529,1.424,1.415,1.29,1.214
796,1.428,1.315,1.135,1.121
709,1.433,1.383,1.236,1.21
760,1.436,1.394,1.324,1.307
124,1.449,1.398,1.313,1.298
664,1.449,1.44,1.233,1.205
166,1.455,1.366,1.182,1.087
19,1.463,1.521,1.062,1.102
436,1.468,1.475,1.261,1.245
703,1.469,1.315,1.239,1.142
805,1.481,1.547,1.333,1.289
118,1.487,1.413,1.273,1.267
264,1.487,1.568,1.387,1.401
748,1.494,1.446,1.344,1.276
253,1.502,1.472,1.308,1.302
523,1.504,1.421,1.236,1.258
394,1.512,1.503,1.323,1.284
258,1.522,1.473,1.324,1.234
792,1.536,1.427,1.374,1.331
793,1.539,1.404,1.329,1.288
252,1.544,1.425,1.415,1.31
388,1.545,1.49,1.283,1.312
