8.279,4.592,0.55,3.909,1.153,0.019,0.759,1.131,0.214,
0.343,0.188,0.011,0.555,0.088,0.0,0.15,0.131,0.005,
0.34,1.879,0.408,0.416,0.893,0.046,0.279,1.609,0.394,
0.386,3.903,0.96,0.335,1.418,0.169,0.113,0.761,0.426,
0.82,0.823,0.075,1.169,0.534,0.019,0.276,0.418,0.054,
2.957,2.11,0.217,2.93,1.005,0.032,1.617,3.576,1.131,
0.263,0.547,0.078,0.282,0.378,0.016,0.121,0.298,0.054,
2.453,1.66,0.113,4.748,1.552,0.056,0.7,0.786,0.121,
0.166,1.957,0.558,0.182,1.086,0.115,0.038,0.834,0.338,
4.032,3.724,0.324,3.697,1.408,0.067,0.684,1.34,0.158,
0.796,0.981,0.038,0.56,0.314,0.008,0.126,0.284,0.064,
0.493,1.059,0.263,0.405,0.558,0.038,0.252,0.836,0.292,
0.44,0.895,0.217,0.34,0.501,0.064,0.673,1.807,0.426,
0.282,1.019,0.196,0.164,0.453,0.04,0.067,0.26,0.088,
0.206,1.729,0.233,0.099,0.756,0.032,0.064,0.705,0.115,
1.375,1.831,0.29,1.134,1.054,0.046,0.373,1.542,0.204,
1.206,1.649,0.161,1.59,1.772,0.07,0.48,1.542,0.233,
3.107,1.952,0.204,7.035,2.638,0.056,0.769,1.174,0.15,
0.126,0.273,0.035,0.102,0.134,0.011,0.019,0.078,0.003,
0.421,0.748,0.075,0.442,0.767,0.021,0.153,0.394,0.051,
