3.958,2.941,0.767,1.727,0.793,0.141,1.445,1.582,0.629,
0.563,0.46,0.063,0.628,0.334,0.0,0.549,0.524,0.109,
0.466,1.215,0.503,0.491,0.726,0.124,0.648,1.911,0.672,
0.414,1.481,0.547,0.38,0.719,0.13,0.334,0.945,0.488,
0.525,0.545,0.118,0.608,0.413,0.055,0.427,0.508,0.177,
2.174,1.53,0.319,1.703,0.855,0.108,2.385,2.918,1.032,
0.285,0.532,0.16,0.348,0.42,0.062,0.377,0.639,0.229,
1.254,1.048,0.246,1.78,0.908,0.077,0.779,0.852,0.282,
0.231,1.053,0.431,0.246,0.763,0.159,0.206,0.856,0.489,
1.886,1.589,0.374,1.519,0.763,0.134,0.951,1.025,0.372,
0.704,0.68,0.137,0.539,0.344,0.024,0.447,0.573,0.211,
0.492,0.898,0.327,0.481,0.604,0.122,0.631,1.203,0.594,
0.452,0.758,0.392,0.434,0.512,0.135,0.839,1.471,0.705,
0.453,0.979,0.274,0.275,0.485,0.131,0.26,0.658,0.335,
0.274,1.124,0.203,0.202,0.605,0.081,0.252,0.821,0.225,
1.023,1.202,0.416,0.963,0.936,0.153,0.993,1.803,0.564,
1.036,1.147,0.36,1.051,1.217,0.164,0.977,1.604,0.525,
1.59,1.286,0.266,2.473,1.183,0.149,1.045,1.147,0.365,
0.214,0.343,0.075,0.176,0.216,0.016,0.148,0.27,0.098,
0.353,0.461,0.095,0.398,0.45,0.05,0.317,0.513,0.173,
