4.059,3.107,0.418,2.517,0.794,0.027,0.944,1.421,0.391,
0.343,0.121,0.003,0.485,0.142,0.0,0.206,0.255,0.027,
0.193,1.04,0.346,0.255,0.59,0.024,0.319,1.973,0.515,
0.155,1.233,0.279,0.153,0.582,0.035,0.088,0.676,0.359,
0.421,0.362,0.038,0.614,0.236,0.005,0.214,0.346,0.067,
1.563,1.121,0.129,1.874,0.657,0.011,1.525,3.44,1.314,
0.105,0.34,0.051,0.145,0.201,0.005,0.134,0.448,0.105,
1.054,0.702,0.035,2.804,1.0,0.008,0.568,0.651,0.102,
0.04,0.56,0.19,0.072,0.517,0.04,0.024,0.517,0.332,
1.724,1.287,0.139,2.185,0.748,0.021,0.617,1.013,0.158,
0.456,0.418,0.038,0.515,0.22,0.003,0.182,0.335,0.083,
0.19,0.67,0.131,0.223,0.405,0.029,0.271,1.129,0.367,
0.169,0.499,0.15,0.271,0.308,0.048,0.555,1.81,0.472,
0.166,0.759,0.086,0.121,0.338,0.021,0.072,0.426,0.15,
0.083,0.689,0.062,0.051,0.265,0.003,0.059,0.434,0.08,
0.71,1.134,0.252,0.874,0.89,0.04,0.603,1.901,0.359,
0.619,0.962,0.131,0.973,1.228,0.035,0.509,1.609,0.397,
1.314,0.882,0.083,4.236,1.488,0.035,0.753,0.981,0.172,
0.094,0.169,0.013,0.046,0.07,0.0,0.027,0.102,0.021,
0.22,0.3,0.027,0.252,0.282,0.003,0.129,0.308,0.062,
