1.285,1.062,0.279,0.601,0.254,0.038,0.51,0.549,0.223,1.301,0.98,0.265,0.598,0.282,0.063,0.488,0.551,0.226,1.554,1.174,0.325,0.742,0.334,0.066,0.595,0.663,0.262,5.585,3.913,1.073,2.416,1.069,0.185,1.9,2.189,0.915,3.956,2.943,0.813,1.75,0.823,0.145,1.458,1.623,0.634,
0.216,0.137,0.025,0.233,0.112,0.0,0.201,0.196,0.037,0.216,0.141,0.026,0.237,0.12,0.0,0.207,0.193,0.045,0.249,0.166,0.035,0.276,0.137,0.0,0.258,0.269,0.041,0.734,0.567,0.092,0.825,0.41,0.0,0.695,0.663,0.137,0.592,0.467,0.084,0.639,0.346,0.0,0.561,0.536,0.114,
0.183,0.425,0.175,0.183,0.264,0.045,0.257,0.71,0.254,0.159,0.435,0.186,0.183,0.257,0.042,0.239,0.685,0.254,0.199,0.534,0.238,0.228,0.331,0.057,0.292,0.82,0.328,0.647,1.529,0.608,0.74,0.923,0.169,0.881,2.493,0.915,0.467,1.217,0.503,0.512,0.726,0.128,0.673,1.91,0.712,
0.155,0.588,0.233,0.153,0.242,0.042,0.114,0.366,0.17,0.145,0.568,0.21,0.143,0.28,0.047,0.123,0.424,0.179,0.184,0.688,0.276,0.17,0.344,0.067,0.145,0.494,0.219,0.523,1.902,0.712,0.569,0.842,0.158,0.436,1.272,0.591,0.423,1.52,0.566,0.413,0.729,0.134,0.347,1.076,0.487,
0.223,0.267,0.044,0.246,0.158,0.021,0.18,0.2,0.065,0.199,0.2,0.042,0.222,0.16,0.018,0.157,0.186,0.062,0.239,0.224,0.055,0.268,0.184,0.019,0.188,0.212,0.075,0.698,0.707,0.155,0.842,0.538,0.065,0.579,0.65,0.22,0.534,0.575,0.122,0.622,0.419,0.055,0.45,0.512,0.18,
0.726,0.585,0.102,0.611,0.316,0.034,0.899,1.092,0.391,0.712,0.499,0.113,0.593,0.305,0.037,0.974,0.962,0.38,0.837,0.607,0.137,0.714,0.364,0.045,1.041,1.116,0.447,2.783,1.947,0.414,2.392,1.216,0.132,3.285,3.953,1.432,2.157,1.545,0.324,1.71,0.859,0.113,2.436,2.892,1.044,
0.126,0.209,0.057,0.144,0.156,0.026,0.165,0.237,0.098,0.107,0.181,0.055,0.134,0.145,0.022,0.133,0.227,0.092,0.13,0.223,0.069,0.159,0.183,0.025,0.163,0.278,0.101,0.406,0.653,0.197,0.461,0.516,0.066,0.473,0.825,0.284,0.302,0.543,0.162,0.372,0.441,0.062,0.382,0.64,0.234,
0.455,0.474,0.102,0.581,0.303,0.025,0.273,0.294,0.113,0.455,0.333,0.079,0.618,0.334,0.031,0.28,0.3,0.097,0.527,0.391,0.087,0.719,0.394,0.039,0.33,0.356,0.11,1.577,1.293,0.314,2.198,1.084,0.096,1.008,1.105,0.34,1.267,1.063,0.247,1.795,0.922,0.083,0.808,0.867,0.286,
0.077,0.388,0.145,0.088,0.335,0.06,0.088,0.352,0.185,0.083,0.401,0.172,0.098,0.297,0.065,0.075,0.354,0.207,0.096,0.466,0.181,0.11,0.327,0.071,0.091,0.401,0.215,0.289,1.389,0.554,0.347,1.057,0.203,0.275,1.122,0.636,0.236,1.098,0.433,0.276,0.767,0.162,0.207,0.901,0.494,
0.633,0.577,0.142,0.521,0.261,0.052,0.352,0.358,0.139,0.65,0.514,0.127,0.513,0.268,0.048,0.332,0.382,0.146,0.775,0.603,0.151,0.635,0.322,0.062,0.397,0.446,0.172,2.386,1.918,0.463,1.979,0.917,0.177,1.24,1.328,0.447,1.899,1.6,0.376,1.541,0.773,0.136,0.977,1.06,0.384,
