2.391,1.907,0.316,0.834,0.212,0.007,0.669,1.014,0.2,2.628,2.115,0.35,0.923,0.234,0.007,0.731,1.111,0.215,2.628,2.115,0.35,0.923,0.234,0.007,0.731,1.111,0.215,3.072,2.47,0.408,1.077,0.275,0.008,0.858,1.293,0.255,3.072,2.47,0.408,1.077,0.275,0.008,0.858,1.293,0.255,9.956,8.496,1.454,3.503,0.945,0.026,2.809,4.265,0.851,9.956,8.496,1.454,3.503,0.945,0.026,2.809,4.265,0.851,7.768,6.43,1.064,2.726,0.712,0.02,2.197,3.317,0.656,7.768,6.43,1.064,2.726,0.712,0.02,2.197,3.317,0.656,
0.224,0.074,0.006,0.218,0.032,0.0,0.152,0.092,0.003,0.237,0.079,0.006,0.233,0.035,0.0,0.163,0.095,0.003,0.237,0.079,0.006,0.233,0.035,0.0,0.163,0.095,0.003,0.271,0.09,0.007,0.267,0.041,0.001,0.188,0.109,0.003,0.271,0.09,0.007,0.267,0.041,0.001,0.188,0.109,0.003,0.851,0.27,0.024,0.854,0.123,0.002,0.596,0.328,0.011,0.851,0.27,0.024,0.854,0.123,0.002,0.596,0.328,0.011,0.684,0.226,0.018,0.68,0.101,0.002,0.483,0.275,0.009,0.684,0.226,0.018,0.68,0.101,0.002,0.483,0.275,0.009,
0.152,0.77,0.213,0.13,0.198,0.008,0.22,1.286,0.269,0.163,0.838,0.24,0.132,0.212,0.007,0.227,1.406,0.288,0.163,0.838,0.24,0.132,0.212,0.007,0.227,1.406,0.288,0.189,0.99,0.283,0.162,0.252,0.009,0.271,1.637,0.347,0.189,0.99,0.283,0.162,0.252,0.009,0.271,1.637,0.347,0.53,3.094,0.924,0.451,0.744,0.024,0.829,5.051,1.012,0.53,3.094,0.924,0.451,0.744,0.024,0.829,5.051,1.012,0.447,2.441,0.71,0.379,0.593,0.02,0.664,4.066,0.832,0.447,2.441,0.71,0.379,0.593,0.02,0.664,4.066,0.832,
0.117,1.156,0.314,0.069,0.175,0.011,0.06,0.504,0.189,0.124,1.266,0.345,0.071,0.191,0.011,0.061,0.538,0.203,0.124,1.266,0.345,0.071,0.191,0.011,0.061,0.538,0.203,0.143,1.478,0.404,0.084,0.226,0.013,0.072,0.633,0.239,0.143,1.478,0.404,0.084,0.226,0.013,0.072,0.633,0.239,0.421,4.513,1.273,0.222,0.613,0.038,0.193,1.839,0.682,0.421,4.513,1.273,0.222,0.613,0.038,0.193,1.839,0.682,0.349,3.641,1.011,0.2,0.527,0.031,0.168,1.515,0.573,0.349,3.641,1.011,0.2,0.527,0.031,0.168,1.515,0.573,
0.294,0.294,0.019,0.279,0.092,0.001,0.15,0.243,0.027,0.302,0.316,0.02,0.285,0.097,0.001,0.15,0.249,0.028,0.302,0.316,0.02,0.285,0.097,0.001,0.15,0.249,0.028,0.351,0.363,0.023,0.337,0.115,0.001,0.175,0.288,0.032,0.351,0.363,0.023,0.337,0.115,0.001,0.175,0.288,0.032,1.023,1.182,0.07,0.939,0.341,0.003,0.494,0.865,0.103,1.023,1.182,0.07,0.939,0.341,0.003,0.494,0.865,0.103,0.833,0.919,0.056,0.788,0.279,0.002,0.417,0.703,0.081,0.833,0.919,0.056,0.788,0.279,0.002,0.417,0.703,0.081,
1.249,0.829,0.066,0.486,0.164,0.004,0.97,2.533,0.559,1.349,0.937,0.077,0.526,0.187,0.004,1.022,2.793,0.607,1.349,0.937,0.077,0.526,0.187,0.004,1.022,2.793,0.607,1.582,1.078,0.088,0.617,0.214,0.005,1.205,3.221,0.714,1.582,1.078,0.088,0.617,0.214,0.005,1.205,3.221,0.714,5.072,3.755,0.309,1.84,0.711,0.014,3.642,10.687,2.255,5.072,3.755,0.309,1.84,0.711,0.014,3.642,10.687,2.255,3.967,2.808,0.235,1.498,0.552,0.012,2.946,8.245,1.786,3.967,2.808,0.235,1.498,0.552,0.012,2.946,8.245,1.786,
0.105,0.215,0.027,0.119,0.105,0.004,0.068,0.248,0.049,0.103,0.219,0.028,0.119,0.107,0.004,0.066,0.251,0.051,0.103,0.219,0.028,0.119,0.107,0.004,0.066,0.251,0.051,0.125,0.258,0.033,0.144,0.124,0.005,0.079,0.294,0.058,0.125,0.258,0.033,0.144,0.124,0.005,0.079,0.294,0.058,0.352,0.803,0.106,0.424,0.373,0.015,0.222,0.884,0.182,0.352,0.803,0.106,0.424,0.373,0.015,0.222,0.884,0.182,0.289,0.649,0.086,0.345,0.309,0.012,0.187,0.728,0.149,0.289,0.649,0.086,0.345,0.309,0.012,0.187,0.728,0.149,
0.725,0.524,0.028,1.145,0.238,0.004,0.338,0.363,0.049,0.798,0.588,0.03,1.263,0.261,0.004,0.366,0.402,0.055,0.798,0.588,0.03,1.263,0.261,0.004,0.366,0.402,0.055,0.922,0.671,0.034,1.462,0.31,0.005,0.427,0.464,0.063,0.922,0.671,0.034,1.462,0.31,0.005,0.427,0.464,0.063,2.801,2.122,0.112,4.623,0.887,0.013,1.31,1.482,0.201,2.801,2.122,0.112,4.623,0.887,0.013,1.31,1.482,0.201,2.278,1.704,0.089,3.697,0.753,0.011,1.058,1.176,0.165,2.278,1.704,0.089,3.697,0.753,0.011,1.058,1.176,0.165,
0.127,0.676,0.178,0.024,0.193,0.01,0.025,0.576,0.171,0.143,0.741,0.195,0.025,0.219,0.011,0.027,0.623,0.184,0.143,0.741,0.195,0.025,0.219,0.011,0.027,0.623,0.184,0.161,0.839,0.219,0.029,0.244,0.013,0.033,0.708,0.207,0.161,0.839,0.219,0.029,0.244,0.013,0.033,0.708,0.207,0.552,2.52,0.681,0.089,0.686,0.036,0.093,2.144,0.595,0.552,2.52,0.681,0.089,0.686,0.036,0.093,2.144,0.595,0.419,2.062,0.548,0.07,0.592,0.031,0.079,1.752,0.502,0.419,2.062,0.548,0.07,0.592,0.031,0.079,1.752,0.502,
1.193,0.964,0.088,0.819,0.213,0.007,0.429,0.654,0.095,1.286,1.061,0.099,0.886,0.229,0.008,0.462,0.707,0.105,1.286,1.061,0.099,0.886,0.229,0.008,0.462,0.707,0.105,1.493,1.215,0.112,1.029,0.271,0.01,0.539,0.818,0.121,1.493,1.215,0.112,1.029,0.271,0.01,0.539,0.818,0.121,4.69,3.934,0.381,3.153,0.817,0.029,1.688,2.557,0.414,4.69,3.934,0.381,3.153,0.817,0.029,1.688,2.557,0.414,3.771,3.146,0.298,2.578,0.668,0.025,1.357,2.078,0.319,3.771,3.146,0.298,2.578,0.668,0.025,1.357,2.078,0.319,
