4.619,3.324,0.542,1.885,0.702,0.016,0.525,0.796,0.239,
0.212,0.142,0.008,0.273,0.062,0.0,0.105,0.102,0.013,
0.311,1.917,0.598,0.319,0.684,0.046,0.174,1.276,0.515,
0.424,5.705,1.895,0.279,1.499,0.204,0.099,0.866,0.7,
1.193,1.223,0.166,1.15,0.676,0.029,0.273,0.517,0.102,
1.206,1.177,0.177,1.303,0.614,0.024,0.842,2.544,1.105,
0.287,0.775,0.161,0.223,0.402,0.013,0.11,0.33,0.102,
2.308,1.633,0.15,2.729,1.225,0.04,0.528,0.732,0.147,
0.182,3.668,1.397,0.142,1.33,0.188,0.035,0.987,0.654,
4.021,3.751,0.413,2.386,1.177,0.048,0.558,1.209,0.209,
0.727,0.936,0.078,0.373,0.265,0.011,0.123,0.292,0.11,
0.386,1.118,0.335,0.265,0.472,0.046,0.164,0.692,0.349,
0.386,1.008,0.29,0.244,0.397,0.056,0.491,1.466,0.466,
0.29,1.397,0.279,0.142,0.424,0.035,0.062,0.335,0.158,
0.244,3.638,0.804,0.129,1.311,0.115,0.059,1.051,0.41,
0.802,1.475,0.319,0.598,0.646,0.043,0.228,1.075,0.236,
0.863,1.349,0.198,0.914,1.185,0.064,0.343,1.164,0.247,
2.686,1.786,0.19,3.818,1.861,0.046,0.592,1.038,0.18,
0.22,0.488,0.078,0.137,0.212,0.013,0.019,0.142,0.013,
0.601,1.343,0.212,0.531,1.0,0.038,0.145,0.512,0.126,
