0.673,0.44,0.067,0.408,0.158,0.008,0.201,0.26,0.07,0.882,0.815,0.129,0.182,0.145,0.005,0.247,0.378,0.126,0.882,0.815,0.129,0.182,0.145,0.005,0.247,0.378,0.126,1.255,1.509,0.324,0.346,0.158,0.005,0.453,0.783,0.3,1.255,1.509,0.324,0.346,0.158,0.005,0.453,0.783,0.3,5.933,5.164,1.021,1.93,0.777,0.043,1.756,2.874,0.898,5.933,5.164,1.021,1.93,0.777,0.043,1.756,2.874,0.898,4.346,3.303,0.477,2.668,0.855,0.027,1.016,1.499,0.416,4.346,3.303,0.477,2.668,0.855,0.027,1.016,1.499,0.416,
0.097,0.051,0.005,0.11,0.051,0.0,0.075,0.062,0.013,0.054,0.016,0.0,0.029,0.019,0.0,0.048,0.046,0.003,0.054,0.016,0.0,0.029,0.019,0.0,0.048,0.046,0.003,0.129,0.07,0.0,0.083,0.038,0.0,0.121,0.11,0.011,0.129,0.07,0.0,0.083,0.038,0.0,0.121,0.11,0.011,0.458,0.3,0.024,0.469,0.166,0.0,0.458,0.429,0.019,0.458,0.3,0.024,0.469,0.166,0.0,0.458,0.429,0.019,0.365,0.126,0.003,0.52,0.15,0.0,0.22,0.257,0.027,0.365,0.126,0.003,0.52,0.15,0.0,0.22,0.257,0.027,
0.054,0.188,0.048,0.056,0.088,0.005,0.115,0.335,0.121,0.07,0.601,0.113,0.088,0.22,0.011,0.08,0.804,0.172,0.07,0.601,0.113,0.088,0.22,0.011,0.08,0.804,0.172,0.075,0.434,0.18,0.094,0.129,0.005,0.086,0.812,0.223,0.075,0.434,0.18,0.094,0.129,0.005,0.086,0.812,0.223,0.34,2.11,0.692,0.416,0.818,0.062,0.619,3.855,1.206,0.34,2.11,0.692,0.416,0.818,0.062,0.619,3.855,1.206,0.193,1.129,0.357,0.265,0.603,0.024,0.34,2.126,0.55,0.193,1.129,0.357,0.265,0.603,0.024,0.34,2.126,0.55,
0.046,0.397,0.091,0.038,0.091,0.003,0.029,0.19,0.051,0.107,0.973,0.139,0.064,0.349,0.008,0.038,0.37,0.11,0.107,0.973,0.139,0.064,0.349,0.008,0.038,0.37,0.11,0.051,0.515,0.214,0.011,0.115,0.005,0.035,0.338,0.158,0.051,0.515,0.214,0.011,0.115,0.005,0.035,0.338,0.158,0.306,2.976,0.812,0.273,0.745,0.091,0.217,1.646,0.807,0.306,2.976,0.812,0.273,0.745,0.091,0.217,1.646,0.807,0.166,1.322,0.308,0.18,0.606,0.043,0.099,0.724,0.373,0.166,1.322,0.308,0.18,0.606,0.043,0.099,0.724,0.373,
0.169,0.166,0.024,0.123,0.062,0.0,0.072,0.094,0.008,0.07,0.129,0.005,0.056,0.07,0.003,0.054,0.113,0.013,0.07,0.129,0.005,0.056,0.07,0.003,0.054,0.113,0.013,0.099,0.145,0.003,0.075,0.08,0.003,0.064,0.139,0.013,0.099,0.145,0.003,0.075,0.08,0.003,0.064,0.139,0.013,0.491,0.475,0.062,0.662,0.429,0.011,0.416,0.665,0.147,0.491,0.475,0.062,0.662,0.429,0.011,0.416,0.665,0.147,0.464,0.386,0.04,0.676,0.255,0.005,0.228,0.362,0.07,0.464,0.386,0.04,0.676,0.255,0.005,0.228,0.362,0.07,
0.303,0.198,0.024,0.501,0.214,0.0,0.499,0.971,0.268,0.276,0.303,0.027,0.206,0.11,0.005,0.389,1.134,0.424,0.276,0.303,0.027,0.206,0.11,0.005,0.389,1.134,0.424,0.399,0.472,0.056,0.332,0.193,0.013,0.708,1.772,0.555,0.399,0.472,0.056,0.332,0.193,0.013,0.708,1.772,0.555,2.571,2.086,0.22,1.705,0.807,0.029,2.909,6.394,1.863,2.571,2.086,0.22,1.705,0.807,0.029,2.909,6.394,1.863,1.617,1.177,0.139,1.987,0.697,0.011,1.606,3.619,1.397,1.617,1.177,0.139,1.987,0.697,0.011,1.606,3.619,1.397,
0.048,0.153,0.021,0.038,0.07,0.011,0.048,0.161,0.019,0.032,0.115,0.008,0.019,0.04,0.003,0.035,0.126,0.032,0.032,0.115,0.008,0.019,0.04,0.003,0.035,0.126,0.032,0.032,0.155,0.029,0.054,0.064,0.0,0.059,0.204,0.04,0.032,0.155,0.029,0.054,0.064,0.0,0.059,0.204,0.04,0.198,0.52,0.107,0.214,0.373,0.011,0.214,0.783,0.19,0.198,0.52,0.107,0.214,0.373,0.011,0.214,0.783,0.19,0.11,0.357,0.054,0.155,0.217,0.005,0.145,0.458,0.113,0.11,0.357,0.054,0.155,0.217,0.005,0.145,0.458,0.113,
0.233,0.15,0.008,0.324,0.139,0.0,0.115,0.134,0.038,0.15,0.11,0.011,0.113,0.086,0.0,0.102,0.131,0.016,0.15,0.11,0.011,0.113,0.086,0.0,0.102,0.131,0.016,0.357,0.362,0.032,0.271,0.233,0.0,0.231,0.284,0.032,0.357,0.362,0.032,0.271,0.233,0.0,0.231,0.284,0.032,2.185,1.638,0.153,2.507,0.925,0.021,1.013,1.314,0.209,2.185,1.638,0.153,2.507,0.925,0.021,1.013,1.314,0.209,1.107,0.745,0.038,2.952,1.054,0.013,0.601,0.705,0.107,1.107,0.745,0.038,2.952,1.054,0.013,0.601,0.705,0.107,
0.019,0.252,0.113,0.019,0.147,0.013,0.013,0.231,0.099,0.011,0.164,0.051,0.0,0.067,0.005,0.005,0.115,0.07,0.011,0.164,0.051,0.0,0.067,0.005,0.005,0.115,0.07,0.035,0.705,0.225,0.04,0.375,0.024,0.005,0.571,0.209,0.035,0.705,0.225,0.04,0.375,0.024,0.005,0.571,0.209,0.161,1.622,0.641,0.113,0.834,0.113,0.113,1.311,0.815,0.161,1.622,0.641,0.113,0.834,0.113,0.113,1.311,0.815,0.043,0.622,0.204,0.094,0.542,0.043,0.029,0.574,0.343,0.043,0.622,0.204,0.094,0.542,0.043,0.029,0.574,0.343,
0.493,0.349,0.048,0.3,0.094,0.003,0.142,0.206,0.035,0.257,0.265,0.019,0.113,0.086,0.005,0.11,0.236,0.04,0.257,0.265,0.019,0.113,0.086,0.005,0.11,0.236,0.04,0.536,0.496,0.054,0.22,0.15,0.008,0.265,0.378,0.07,0.536,0.496,0.054,0.22,0.15,0.008,0.265,0.378,0.07,3.434,3.051,0.362,2.016,0.954,0.059,1.389,2.164,0.41,3.434,3.051,0.362,2.016,0.954,0.059,1.389,2.164,0.41,1.82,1.378,0.145,2.346,0.794,0.021,0.673,1.102,0.172,1.82,1.378,0.145,2.346,0.794,0.021,0.673,1.102,0.172,
0.113,0.123,0.013,0.056,0.027,0.0,0.059,0.07,0.011,0.067,0.086,0.003,0.024,0.011,0.0,0.029,0.043,0.003,0.067,0.086,0.003,0.024,0.011,0.0,0.029,0.043,0.003,0.113,0.118,0.005,0.048,0.021,0.0,0.046,0.102,0.029,0.113,0.118,0.005,0.048,0.021,0.0,0.046,0.102,0.029,0.863,0.796,0.07,0.45,0.249,0.011,0.365,0.635,0.139,0.863,0.796,0.07,0.45,0.249,0.011,0.365,0.635,0.139,0.493,0.437,0.043,0.579,0.228,0.005,0.185,0.343,0.086,0.493,0.437,0.043,0.579,0.228,0.005,0.185,0.343,0.086,
