0.847,0.399,0.064,0.45,0.118,0.005,0.29,0.268,0.059,1.064,0.745,0.113,0.271,0.107,0.003,0.303,0.373,0.075,1.064,0.745,0.113,0.271,0.107,0.003,0.303,0.373,0.075,1.432,1.233,0.177,0.44,0.204,0.0,0.483,0.638,0.166,1.432,1.233,0.177,0.44,0.204,0.0,0.483,0.638,0.166,5.279,3.579,0.437,1.917,0.67,0.008,1.676,2.046,0.472,5.279,3.579,0.437,1.917,0.67,0.008,1.676,2.046,0.472,4.893,2.576,0.303,2.842,0.839,0.016,1.029,1.338,0.292,4.893,2.576,0.303,2.842,0.839,0.016,1.029,1.338,0.292,
0.04,0.024,0.0,0.067,0.016,0.0,0.054,0.035,0.0,0.027,0.005,0.0,0.024,0.003,0.0,0.027,0.019,0.005,0.027,0.005,0.0,0.024,0.003,0.0,0.027,0.019,0.005,0.048,0.019,0.003,0.064,0.021,0.0,0.075,0.051,0.0,0.048,0.019,0.003,0.064,0.021,0.0,0.075,0.051,0.0,0.217,0.155,0.013,0.268,0.067,0.0,0.311,0.351,0.019,0.217,0.155,0.013,0.268,0.067,0.0,0.311,0.351,0.019,0.201,0.086,0.0,0.391,0.048,0.0,0.204,0.158,0.011,0.201,0.086,0.0,0.391,0.048,0.0,0.204,0.158,0.011,
0.051,0.174,0.027,0.062,0.099,0.0,0.107,0.378,0.059,0.107,0.528,0.097,0.094,0.185,0.008,0.115,0.807,0.214,0.107,0.528,0.097,0.094,0.185,0.008,0.115,0.807,0.214,0.072,0.397,0.153,0.059,0.15,0.008,0.113,0.796,0.233,0.072,0.397,0.153,0.059,0.15,0.008,0.113,0.796,0.233,0.327,1.515,0.34,0.34,0.662,0.029,0.727,3.035,0.944,0.327,1.515,0.34,0.34,0.662,0.029,0.727,3.035,0.944,0.177,1.051,0.223,0.271,0.55,0.038,0.373,2.121,0.576,0.177,1.051,0.223,0.271,0.55,0.038,0.373,2.121,0.576,
0.062,0.394,0.102,0.046,0.147,0.003,0.024,0.214,0.099,0.102,1.831,0.239,0.067,0.418,0.019,0.056,0.539,0.206,0.102,1.831,0.239,0.067,0.418,0.019,0.056,0.539,0.206,0.064,0.861,0.284,0.024,0.139,0.016,0.051,0.45,0.241,0.064,0.861,0.284,0.024,0.139,0.016,0.051,0.45,0.241,0.287,3.327,0.847,0.265,0.957,0.113,0.201,1.767,0.853,0.287,3.327,0.847,0.265,0.957,0.113,0.201,1.767,0.853,0.193,2.003,0.512,0.244,0.836,0.08,0.115,0.861,0.472,0.193,2.003,0.512,0.244,0.836,0.08,0.115,0.861,0.472,
0.19,0.169,0.016,0.137,0.059,0.0,0.072,0.118,0.011,0.115,0.145,0.0,0.08,0.048,0.0,0.056,0.11,0.019,0.115,0.145,0.0,0.08,0.048,0.0,0.056,0.11,0.019,0.115,0.142,0.016,0.094,0.091,0.0,0.067,0.158,0.032,0.115,0.142,0.016,0.094,0.091,0.0,0.067,0.158,0.032,0.534,0.48,0.078,0.716,0.357,0.011,0.391,0.673,0.097,0.534,0.48,0.078,0.716,0.357,0.011,0.391,0.673,0.097,0.461,0.496,0.043,0.743,0.314,0.011,0.308,0.416,0.08,0.461,0.496,0.043,0.743,0.314,0.011,0.308,0.416,0.08,
0.273,0.198,0.021,0.517,0.201,0.003,0.488,0.981,0.298,0.268,0.354,0.032,0.252,0.137,0.003,0.472,1.316,0.488,0.268,0.354,0.032,0.252,0.137,0.003,0.472,1.316,0.488,0.41,0.485,0.062,0.303,0.225,0.003,0.67,1.777,0.558,0.41,0.485,0.062,0.303,0.225,0.003,0.67,1.777,0.558,2.282,1.684,0.169,1.582,0.67,0.021,2.71,5.702,1.528,2.282,1.684,0.169,1.582,0.67,0.021,2.71,5.702,1.528,1.566,1.15,0.105,2.054,0.681,0.016,1.724,3.721,1.332,1.566,1.15,0.105,2.054,0.681,0.016,1.724,3.721,1.332,
0.051,0.126,0.011,0.046,0.07,0.0,0.059,0.145,0.029,0.064,0.147,0.016,0.029,0.056,0.0,0.029,0.088,0.024,0.064,0.147,0.016,0.029,0.056,0.0,0.029,0.088,0.024,0.032,0.094,0.032,0.035,0.048,0.0,0.046,0.145,0.059,0.032,0.094,0.032,0.035,0.048,0.0,0.046,0.145,0.059,0.244,0.405,0.064,0.185,0.276,0.013,0.255,0.566,0.164,0.244,0.405,0.064,0.185,0.276,0.013,0.255,0.566,0.164,0.126,0.282,0.043,0.188,0.223,0.005,0.118,0.386,0.102,0.126,0.282,0.043,0.188,0.223,0.005,0.118,0.386,0.102,
0.241,0.153,0.019,0.405,0.129,0.005,0.097,0.105,0.043,0.204,0.091,0.008,0.137,0.105,0.0,0.102,0.161,0.016,0.204,0.091,0.008,0.137,0.105,0.0,0.102,0.161,0.016,0.424,0.273,0.032,0.311,0.236,0.003,0.217,0.29,0.054,0.424,0.273,0.032,0.311,0.236,0.003,0.217,0.29,0.054,1.997,1.432,0.115,2.448,0.909,0.032,1.062,1.247,0.174,1.997,1.432,0.115,2.448,0.909,0.032,1.062,1.247,0.174,1.115,0.794,0.059,3.416,1.091,0.035,0.619,0.815,0.147,1.115,0.794,0.059,3.416,1.091,0.035,0.619,0.815,0.147,
0.027,0.421,0.115,0.027,0.188,0.005,0.019,0.265,0.094,0.019,0.357,0.059,0.008,0.088,0.005,0.008,0.182,0.04,0.019,0.357,0.059,0.008,0.088,0.005,0.008,0.182,0.04,0.043,1.236,0.206,0.056,0.375,0.013,0.013,0.743,0.233,0.043,1.236,0.206,0.056,0.375,0.013,0.013,0.743,0.233,0.172,1.874,0.574,0.129,0.853,0.121,0.072,1.469,0.767,0.172,1.874,0.574,0.129,0.853,0.121,0.072,1.469,0.767,0.062,0.767,0.209,0.091,0.584,0.043,0.032,0.82,0.351,0.062,0.767,0.209,0.091,0.584,0.043,0.032,0.82,0.351,
0.523,0.357,0.056,0.322,0.139,0.003,0.134,0.225,0.032,0.327,0.34,0.021,0.078,0.121,0.003,0.142,0.271,0.024,0.327,0.34,0.021,0.078,0.121,0.003,0.142,0.271,0.024,0.633,0.635,0.07,0.206,0.196,0.005,0.316,0.52,0.07,0.633,0.635,0.07,0.206,0.196,0.005,0.316,0.52,0.07,3.239,3.118,0.308,1.877,0.933,0.035,1.265,2.099,0.346,3.239,3.118,0.308,1.877,0.933,0.035,1.265,2.099,0.346,1.845,1.568,0.121,2.622,0.866,0.048,0.732,1.193,0.169,1.845,1.568,0.121,2.622,0.866,0.048,0.732,1.193,0.169,
