1.149,0.994,0.993,1.626,1.63,1.359,1.095,1.061,1.184,
1.383,0.939,0.822,1.609,1.498,-1.0,0.984,1.292,1.879,
1.257,1.065,1.272,1.37,1.335,1.371,1.171,1.094,1.24,
1.179,0.923,1.083,1.264,1.322,1.524,0.982,1.098,1.35,
1.55,1.338,1.723,1.686,1.371,1.334,1.169,1.282,1.469,
1.105,1.087,1.213,1.547,1.329,1.172,0.919,1.019,1.347,
1.269,1.32,1.377,1.351,1.232,1.186,1.175,1.26,1.413,
1.077,1.008,0.802,1.822,1.706,1.16,1.235,1.228,1.301,
0.962,0.865,1.044,1.379,1.182,1.235,0.825,1.035,1.265,
1.087,1.083,1.196,1.718,1.534,1.208,1.097,1.196,1.226,
1.215,1.334,1.392,1.874,1.743,2.119,1.167,1.306,1.519,
1.028,1.145,1.232,1.202,1.449,1.739,1.266,1.026,1.235,
1.17,1.146,1.087,1.719,1.363,1.918,1.262,1.208,1.145,
1.021,1.084,1.091,1.636,1.389,1.107,1.211,1.237,1.154,
1.044,1.007,1.287,1.203,0.986,0.639,1.1,1.039,1.25,
1.208,1.233,1.308,1.484,1.382,1.668,1.197,1.067,1.182,
1.065,1.149,1.083,1.482,1.396,1.283,1.08,1.119,1.405,
1.06,1.06,1.206,1.846,1.556,1.417,1.184,1.128,1.229,
2.049,1.559,1.53,1.451,1.361,0.0,1.298,1.331,1.474,
1.565,1.262,1.701,1.518,1.387,1.033,1.383,1.193,1.572,
