3.667,3.153,0.531,1.554,0.591,0.024,1.034,1.633,0.502,
0.311,0.164,0.007,0.342,0.124,0.0,0.263,0.268,0.019,
0.214,1.261,0.407,0.254,0.552,0.03,0.348,2.228,0.629,
0.187,1.718,0.423,0.148,0.552,0.041,0.115,0.893,0.436,
0.362,0.362,0.035,0.43,0.253,0.007,0.227,0.393,0.07,
1.521,1.195,0.131,1.345,0.566,0.016,1.712,3.94,1.263,
0.111,0.376,0.063,0.134,0.22,0.009,0.138,0.495,0.113,
1.148,0.852,0.071,1.807,0.711,0.009,0.589,0.727,0.119,
0.075,0.938,0.346,0.069,0.56,0.056,0.046,0.76,0.431,
1.89,1.584,0.182,1.435,0.601,0.029,0.718,1.162,0.21,
0.459,0.458,0.039,0.317,0.161,0.002,0.199,0.35,0.085,
0.236,0.777,0.178,0.213,0.329,0.022,0.269,1.241,0.444,
0.21,0.603,0.202,0.18,0.253,0.034,0.554,1.695,0.613,
0.205,0.977,0.14,0.094,0.307,0.032,0.08,0.508,0.193,
0.111,1.029,0.101,0.06,0.424,0.015,0.069,0.695,0.136,
0.715,1.153,0.246,0.641,0.674,0.033,0.583,2.064,0.433,
0.644,1.037,0.192,0.741,0.944,0.042,0.597,1.731,0.382,
1.394,1.026,0.104,2.753,1.167,0.026,0.817,1.081,0.207,
0.07,0.15,0.011,0.047,0.08,0.001,0.036,0.109,0.019,
0.192,0.346,0.029,0.22,0.276,0.007,0.122,0.405,0.068,
